               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.068436,             0.02604,                   0,             0.36653,                   1,              0.4975,               0.199,            0.022442,            0.018731,                   0,           0.0033981,           0.0033981,            0.064398
                  40,             0.04954,            0.036887,                   0,             0.32641,                   1,             0.33167,            0.033167,             0.01911,            0.018231,                   0,            0.003472,            0.003472,            0.063472
                  41,            0.046454,            0.034136,                   0,             0.32641,                   1,             0.33167,            0.033167,             0.01911,            0.018231,                   0,           0.0035453,           0.0035453,            0.062545
                  42,            0.052954,             0.02893,                   0,             0.23409,                   1,             0.24875,            0.074625,            0.019902,             0.01807,                   0,           0.0036179,           0.0036179,            0.061618
                  43,            0.050933,             0.03235,                   0,             0.23409,                   1,             0.24875,            0.074625,            0.019902,             0.01807,                   0,           0.0036898,           0.0036898,             0.06069
                  44,             0.05007,            0.033565,                   0,             0.24639,                   1,             0.24875,              0.0995,            0.022008,            0.017386,                   0,           0.0037611,           0.0037611,            0.059761
                  45,             0.04609,            0.033577,                   0,             0.24639,                   1,             0.24875,              0.0995,            0.022008,            0.017386,                   0,           0.0038317,           0.0038317,            0.058832
                  46,            0.049345,            0.030799,                   0,             0.95589,                   1,               0.995,              0.2985,            0.024145,            0.016286,                   0,           0.0039017,           0.0039017,            0.057902
                  47,            0.060793,             0.02332,                   0,             0.95589,                   1,               0.995,              0.2985,            0.024145,            0.016286,                   0,            0.003971,            0.003971,            0.056971
                  48,            0.058468,            0.025234,                   0,              0.4515,               0.903,              0.4975,             0.14925,            0.024596,            0.015529,                   0,           0.0040397,           0.0040397,             0.05604
                  49,            0.043656,            0.030364,                   0,              0.4515,               0.903,              0.4975,             0.14925,            0.024596,            0.015529,                   0,           0.0041077,           0.0041077,            0.055108
                  50,            0.045174,            0.029162,                   0,             0.48566,                   1,              0.4975,             0.14925,            0.018298,            0.015791,                   0,            0.004175,            0.004175,            0.054175
                  51,            0.065842,            0.021642,                   0,             0.48566,                   1,              0.4975,             0.14925,            0.018298,            0.015791,                   0,           0.0042417,           0.0042417,            0.053242
                  52,            0.048813,            0.028264,                   0,             0.48566,                   1,              0.4975,             0.14925,            0.018298,            0.015791,                   0,           0.0043077,           0.0043077,            0.052308
                  53,            0.046201,            0.029043,                   0,             0.49829,             0.99659,              0.4975,               0.199,            0.024372,            0.015145,                   0,            0.004373,            0.004373,            0.051373
